[0, 1, 2, 3, 4, 5, 6, 7]
[0]
running on  <class 'twisted.internet.kqreactor.KQueueReactor'>
         1117 function calls (1115 primitive calls) in 19.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   19.773   19.773 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:1190(run)
        1    0.000    0.000   19.773   19.773 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:1195(mainLoop)
       27    0.000    0.000   19.772    0.732 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/kqreactor.py:229(doKEvent)
       37   19.771    0.534   19.771    0.534 {method 'control' of 'select.kqueue' objects}
       13    0.000    0.000    0.001    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/log.py:75(callWithLogger)
       13    0.000    0.000    0.001    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/log.py:70(callWithContext)
       13    0.000    0.000    0.001    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/context.py:117(callWithContext)
       13    0.000    0.000    0.001    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/context.py:61(callWithContext)
       12    0.000    0.000    0.001    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/kqreactor.py:257(_doWriteOrRead)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:634(fireSystemEvent)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:399(fireEvent)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:1011(doRead)
       27    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:786(runUntilCurrent)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/defer.py:299(addCallback)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/defer.py:502(_runCallbacks)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/defer.py:277(addCallbacks)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:419(_continueFiring)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:198(doRead)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:761(__init__)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:234(doWrite)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:133(_getLogPrefix)
        1    0.000    0.000    0.000    0.000 {method 'providedBy' of '_interface_coptimizations.SpecificationBase' objects}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/declarations.py:141(implementedByFallback)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:617(disconnectAll)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/declarations.py:64(__init__)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:1160(startRunning)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:187(__init__)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:668(startRunning)
        4    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:204(__setBases)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:242(_disconnectSelectable)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/declarations.py:67(changed)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:217(_dataReceived)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:222(changed)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:282(connectionLost)
